date,borough,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplaces,Residential
2020-02-15,City of London,-5.0,-9.0,-12.0,-11.0,,
2020-02-16,City of London,-3.0,-15.0,-17.5,-12.0,,
2020-02-17,City of London,-3.0,-10.666666666666666,-10.333333333333334,-8.333333333333334,-4.0,
2020-02-18,City of London,-2.75,-8.5,-8.0,-6.75,-3.0,
2020-02-19,City of London,-3.6,-7.6,-5.4,-5.4,-3.3333333333333335,
2020-02-20,City of London,-4.166666666666667,-7.5,-6.333333333333333,-5.0,-3.25,
2020-02-21,City of London,-4.0,-6.714285714285714,-4.714285714285714,-4.714285714285714,-3.4,
2020-02-22,City of London,-2.7142857142857144,-4.714285714285714,-1.4285714285714286,-3.5714285714285716,-3.4,
2020-02-23,City of London,-1.4285714285714286,-1.5714285714285714,1.2857142857142858,-3.5714285714285716,-3.4,
2020-02-24,City of London,-2.0,-3.0,-1.1428571428571428,-3.5714285714285716,-2.2,
2020-02-25,City of London,-1.8571428571428572,-2.5714285714285716,-1.7142857142857142,-3.4285714285714284,-1.2,
2020-02-26,City of London,-0.8571428571428571,-2.4285714285714284,-2.2857142857142856,-3.857142857142857,0.8,
2020-02-27,City of London,0.14285714285714285,-2.0,-2.0,-3.5714285714285716,2.2,
2020-02-28,City of London,0.2857142857142857,-2.5714285714285716,-4.428571428571429,-3.142857142857143,3.0,
2020-02-29,City of London,1.2857142857142858,-2.857142857142857,-6.0,-3.2857142857142856,3.0,
2020-03-01,City of London,3.2857142857142856,-1.0,-4.142857142857143,0.0,3.0,
2020-03-02,City of London,4.0,0.7142857142857143,-5.857142857142857,-0.42857142857142855,3.4,
2020-03-03,City of London,3.4285714285714284,0.42857142857142855,-6.714285714285714,-1.2857142857142858,3.4,
2020-03-04,City of London,2.5714285714285716,0.14285714285714285,-7.857142857142857,-1.5714285714285714,3.0,
2020-03-05,City of London,0.5714285714285714,-1.7142857142857142,-10.142857142857142,-1.7142857142857142,2.4,
2020-03-06,City of London,0.2857142857142857,-0.5714285714285714,-7.714285714285714,-2.4285714285714284,3.0,
2020-03-07,City of London,-1.0,-0.42857142857142855,-6.0,-3.0,3.0,
2020-03-08,City of London,-3.857142857142857,-3.0,-7.857142857142857,-6.857142857142857,3.0,
2020-03-09,City of London,-5.0,-3.7142857142857144,-5.428571428571429,-7.428571428571429,1.0,
2020-03-10,City of London,-6.285714285714286,-4.285714285714286,-6.285714285714286,-7.857142857142857,0.0,
2020-03-11,City of London,-7.857142857142857,-4.714285714285714,-6.714285714285714,-9.285714285714286,-1.8,
2020-03-12,City of London,-9.0,-3.857142857142857,-6.428571428571429,-11.857142857142858,-5.0,
2020-03-13,City of London,-12.571428571428571,-6.285714285714286,-11.428571428571429,-15.0,-10.2,
2020-03-14,City of London,-16.571428571428573,-9.0,-17.0,-17.857142857142858,-10.2,
2020-03-15,City of London,-21.428571428571427,-11.857142857142858,-21.428571428571427,-20.857142857142858,-10.2,
2020-03-16,City of London,-25.714285714285715,-14.0,-26.285714285714285,-25.428571428571427,-16.6,
2020-03-17,City of London,-32.57142857142857,-19.0,-32.42857142857143,-32.0,-27.0,
2020-03-18,City of London,-40.57142857142857,-24.428571428571427,-40.285714285714285,-39.285714285714285,-38.4,
2020-03-19,City of London,-48.57142857142857,-29.571428571428573,-47.57142857142857,-46.42857142857143,-48.0,
2020-03-20,City of London,-56.142857142857146,-35.142857142857146,-54.285714285714285,-53.0,-56.2,
2020-03-21,City of London,-64.71428571428571,-40.57142857142857,-62.714285714285715,-60.142857142857146,-56.2,
2020-03-22,City of London,-72.28571428571429,-46.714285714285715,-70.0,-66.28571428571429,-56.2,
2020-03-23,City of London,-79.0,-53.857142857142854,-75.71428571428571,-71.85714285714286,-63.8,
2020-03-24,City of London,-83.57142857142857,-59.42857142857143,-79.71428571428571,-76.28571428571429,-69.0,
2020-03-25,City of London,-86.71428571428571,-64.57142857142857,-83.0,-79.71428571428571,-73.6,
2020-03-26,City of London,-89.28571428571429,-69.71428571428571,-85.42857142857143,-82.85714285714286,-78.0,
2020-03-27,City of London,-91.28571428571429,-73.85714285714286,-87.42857142857143,-85.57142857142857,-82.0,
2020-03-28,City of London,-92.57142857142857,-76.85714285714286,-88.42857142857143,-87.57142857142857,-82.0,
2020-03-29,City of London,-94.0,-78.71428571428571,-89.42857142857143,-89.0,-82.0,
2020-03-30,City of London,-95.14285714285714,-80.71428571428571,-90.57142857142857,-91.0,-83.2,
2020-03-31,City of London,-95.42857142857143,-81.42857142857143,-91.14285714285714,-91.85714285714286,-84.2,
2020-04-01,City of London,-95.57142857142857,-81.85714285714286,-91.71428571428571,-92.28571428571429,-84.2,
2020-04-02,City of London,-95.71428571428571,-82.14285714285714,-92.0,-92.42857142857143,-84.4,
2020-04-03,City of London,-95.85714285714286,-82.28571428571429,-92.14285714285714,-92.57142857142857,-84.2,
2020-04-04,City of London,-95.85714285714286,-82.28571428571429,-91.85714285714286,-92.57142857142857,-84.2,
2020-04-05,City of London,-95.57142857142857,-81.57142857142857,-91.0,-92.42857142857143,-84.2,
2020-04-06,City of London,-95.71428571428571,-81.71428571428571,-91.28571428571429,-92.42857142857143,-83.8,
2020-04-07,City of London,-95.85714285714286,-81.71428571428571,-91.0,-92.42857142857143,-84.2,
2020-04-08,City of London,-96.0,-81.57142857142857,-90.71428571428571,-92.42857142857143,-84.6,
2020-04-09,City of London,-96.0,-81.14285714285714,-90.28571428571429,-92.42857142857143,-84.2,
2020-04-10,City of London,-96.14285714285714,-81.71428571428571,-90.42857142857143,-92.85714285714286,-85.4,
2020-04-11,City of London,-96.14285714285714,-81.42857142857143,-90.14285714285714,-92.85714285714286,-85.4,
2020-04-12,City of London,-96.71428571428571,-82.42857142857143,-90.28571428571429,-93.0,-85.4,
2020-04-13,City of London,-97.14285714285714,-83.28571428571429,-90.85714285714286,-93.57142857142857,-86.75,
2020-04-14,City of London,-97.14285714285714,-83.14285714285714,-91.0,-93.57142857142857,-85.75,
2020-04-15,City of London,-97.14285714285714,-83.0,-91.14285714285714,-93.57142857142857,-85.0,
2020-04-16,City of London,-97.14285714285714,-83.28571428571429,-91.57142857142857,-93.57142857142857,-84.5,
2020-04-17,City of London,-97.0,-82.57142857142857,-91.57142857142857,-93.14285714285714,-82.75,
2020-04-18,City of London,-97.14285714285714,-82.85714285714286,-92.14285714285714,-93.14285714285714,-82.75,
2020-04-19,City of London,-96.85714285714286,-81.42857142857143,-92.0,-93.0,-82.75,
2020-04-20,City of London,-96.42857142857143,-80.42857142857143,-91.28571428571429,-92.28571428571429,-82.4,
2020-04-21,City of London,-96.42857142857143,-80.57142857142857,-91.14285714285714,-92.28571428571429,-82.4,
2020-04-22,City of London,-96.42857142857143,-80.57142857142857,-91.0,-92.28571428571429,-82.4,
2020-04-23,City of London,-96.42857142857143,-80.57142857142857,-90.71428571428571,-92.28571428571429,-82.8,
2020-04-24,City of London,-96.42857142857143,-80.42857142857143,-90.28571428571429,-92.14285714285714,-82.4,
2020-04-25,City of London,-96.28571428571429,-80.0,-89.57142857142857,-91.85714285714286,-82.4,
2020-04-26,City of London,-96.28571428571429,-80.0,-88.85714285714286,-91.57142857142857,-82.4,
2020-04-27,City of London,-96.28571428571429,-79.85714285714286,-88.85714285714286,-91.57142857142857,-82.2,
2020-04-28,City of London,-96.28571428571429,-80.28571428571429,-89.28571428571429,-91.42857142857143,-82.4,
2020-04-29,City of London,-96.28571428571429,-80.28571428571429,-89.42857142857143,-91.28571428571429,-82.4,
2020-04-30,City of London,-96.42857142857143,-80.42857142857143,-89.57142857142857,-91.14285714285714,-82.4,
2020-05-01,City of London,-96.42857142857143,-80.42857142857143,-89.42857142857143,-91.0,-82.8,
2020-05-02,City of London,-96.42857142857143,-80.42857142857143,-88.85714285714286,-90.85714285714286,-82.8,
2020-05-03,City of London,-96.71428571428571,-80.85714285714286,-89.57142857142857,-91.0,-82.8,
2020-05-04,City of London,-96.85714285714286,-80.85714285714286,-89.14285714285714,-90.85714285714286,-82.8,
2020-05-05,City of London,-96.85714285714286,-80.42857142857143,-88.42857142857143,-90.71428571428571,-82.8,
2020-05-06,City of London,-96.85714285714286,-80.28571428571429,-87.85714285714286,-90.57142857142857,-82.2,
2020-05-07,City of London,-96.71428571428571,-79.85714285714286,-87.14285714285714,-90.42857142857143,-81.4,
2020-05-08,City of London,-96.85714285714286,-80.57142857142857,-86.42857142857143,-90.85714285714286,-81.6,
2020-05-09,City of London,-96.85714285714286,-80.57142857142857,-84.85714285714286,-90.71428571428571,-81.6,
2020-05-10,City of London,-96.85714285714286,-81.0,-84.57142857142857,-90.57142857142857,-81.6,
2020-05-11,City of London,-96.85714285714286,-81.14285714285714,-84.71428571428571,-90.42857142857143,-82.0,
2020-05-12,City of London,-96.85714285714286,-81.0,-84.57142857142857,-90.42857142857143,-81.4,
2020-05-13,City of London,-96.85714285714286,-81.14285714285714,-84.85714285714286,-90.42857142857143,-81.0,
2020-05-14,City of London,-96.85714285714286,-81.28571428571429,-84.85714285714286,-90.42857142857143,-81.4,
2020-05-15,City of London,-96.71428571428571,-80.28571428571429,-84.57142857142857,-89.85714285714286,-80.8,
2020-05-16,City of London,-96.71428571428571,-80.28571428571429,-85.0,-89.71428571428571,-80.8,
2020-05-17,City of London,-96.14285714285714,-79.28571428571429,-82.14285714285714,-89.14285714285714,-80.8,
2020-05-18,City of London,-96.0,-79.0,-81.28571428571429,-89.0,-80.2,
2020-05-19,City of London,-96.0,-78.57142857142857,-80.57142857142857,-88.71428571428571,-80.4,
2020-05-20,City of London,-96.0,-78.28571428571429,-79.0,-88.42857142857143,-80.0,
2020-05-21,City of London,-96.0,-77.85714285714286,-78.28571428571429,-88.14285714285714,-79.6,
2020-05-22,City of London,-96.0,-77.71428571428571,-78.14285714285714,-87.85714285714286,-79.0,
2020-05-23,City of London,-96.0,-77.57142857142857,-78.42857142857143,-87.14285714285714,-79.0,
2020-05-24,City of London,-96.14285714285714,-77.57142857142857,-78.57142857142857,-86.42857142857143,-79.0,
2020-05-25,City of London,-96.28571428571429,-78.14285714285714,-77.0,-86.71428571428571,-80.2,
2020-05-26,City of London,-96.14285714285714,-78.14285714285714,-76.71428571428571,-86.57142857142857,-79.8,
2020-05-27,City of London,-96.0,-78.14285714285714,-76.85714285714286,-86.42857142857143,-79.8,
2020-05-28,City of London,-95.85714285714286,-78.0,-76.71428571428571,-86.28571428571429,-79.4,
2020-05-29,City of London,-95.71428571428571,-77.71428571428571,-76.14285714285714,-86.14285714285714,-79.2,
2020-05-30,City of London,-95.57142857142857,-77.14285714285714,-74.0,-86.0,-79.2,
2020-05-31,City of London,-95.28571428571429,-77.0,-73.14285714285714,-86.14285714285714,-79.2,
2020-06-01,City of London,-95.0,-76.14285714285714,-74.0,-85.57142857142857,-78.0,
2020-06-02,City of London,-95.0,-76.0,-73.71428571428571,-85.42857142857143,-77.6,
2020-06-03,City of London,-95.0,-76.0,-74.42857142857143,-85.28571428571429,-78.4,
2020-06-04,City of London,-95.14285714285714,-76.14285714285714,-75.0,-85.28571428571429,-78.0,
2020-06-05,City of London,-95.14285714285714,-76.28571428571429,-75.14285714285714,-85.14285714285714,-78.2,
2020-06-06,City of London,-95.28571428571429,-77.14285714285714,-77.85714285714286,-85.28571428571429,-78.2,
2020-06-07,City of London,-95.42857142857143,-77.14285714285714,-79.0,-85.28571428571429,-78.2,
2020-06-08,City of London,-95.42857142857143,-77.0,-79.0,-85.14285714285714,-77.4,
2020-06-09,City of London,-95.28571428571429,-76.85714285714286,-78.71428571428571,-85.0,-76.8,
2020-06-10,City of London,-95.28571428571429,-76.71428571428571,-78.57142857142857,-85.0,-76.0,
2020-06-11,City of London,-95.14285714285714,-76.57142857142857,-78.0,-84.85714285714286,-76.0,
2020-06-12,City of London,-95.14285714285714,-76.57142857142857,-78.28571428571429,-84.71428571428571,-75.0,
2020-06-13,City of London,-94.85714285714286,-75.0,-74.85714285714286,-83.57142857142857,-75.0,
2020-06-14,City of London,-94.71428571428571,-74.71428571428571,-73.14285714285714,-83.28571428571429,-75.0,
2020-06-15,City of London,-94.42857142857143,-74.28571428571429,-72.85714285714286,-83.0,-74.8,
2020-06-16,City of London,-94.28571428571429,-73.85714285714286,-72.85714285714286,-82.85714285714286,-74.8,
2020-06-17,City of London,-94.0,-73.42857142857143,-72.28571428571429,-82.57142857142857,-74.4,
2020-06-18,City of London,-93.85714285714286,-73.0,-72.42857142857143,-82.42857142857143,-74.6,
2020-06-19,City of London,-93.57142857142857,-72.0,-72.14285714285714,-82.14285714285714,-74.4,
2020-06-20,City of London,-93.14285714285714,-70.42857142857143,-72.85714285714286,-82.0,-74.4,
2020-06-21,City of London,-92.85714285714286,-68.85714285714286,-74.28571428571429,-81.71428571428571,-74.4,
2020-06-22,City of London,-92.85714285714286,-68.57142857142857,-73.42857142857143,-81.57142857142857,-74.8,
2020-06-23,City of London,-92.85714285714286,-68.42857142857143,-72.57142857142857,-81.42857142857143,-75.0,
2020-06-24,City of London,-92.85714285714286,-67.71428571428571,-71.28571428571429,-81.14285714285714,-74.6,
2020-06-25,City of London,-92.71428571428571,-67.28571428571429,-70.0,-80.57142857142857,-74.2,
2020-06-26,City of London,-92.71428571428571,-67.28571428571429,-69.14285714285714,-80.28571428571429,-74.8,
2020-06-27,City of London,-93.0,-68.28571428571429,-71.14285714285714,-80.71428571428571,-74.8,
2020-06-28,City of London,-93.0,-67.57142857142857,-70.85714285714286,-80.28571428571429,-74.8,
2020-06-29,City of London,-93.0,-67.57142857142857,-71.42857142857143,-80.14285714285714,-74.4,
2020-06-30,City of London,-92.85714285714286,-67.85714285714286,-72.57142857142857,-80.0,-74.0,
2020-07-01,City of London,-92.57142857142857,-68.28571428571429,-73.14285714285714,-79.85714285714286,-73.6,
2020-07-02,City of London,-92.42857142857143,-68.57142857142857,-73.85714285714286,-80.0,-73.4,
2020-07-03,City of London,-92.14285714285714,-68.57142857142857,-73.42857142857143,-79.85714285714286,-73.0,
2020-07-04,City of London,-91.14285714285714,-68.14285714285714,-72.28571428571429,-78.71428571428571,-73.0,
2020-07-05,City of London,-90.28571428571429,-68.14285714285714,-71.14285714285714,-77.71428571428571,-73.0,
