date,borough,Retail & recreation,Grocery & pharmacy,Parks,Transit stations,Workplaces,Residential
2020-02-15,City of London,-5,-9,-12,-11,,
2020-02-16,City of London,-3,-15,-17.5,-12,,
2020-02-17,City of London,-3,-10.66666667,-10.33333333,-8.333333333,-4,
2020-02-18,City of London,-2.75,-8.5,-8,-6.75,-3,
2020-02-19,City of London,-3.6,-7.6,-5.4,-5.4,-3.333333333,
2020-02-20,City of London,-4.166666667,-7.5,-6.333333333,-5,-3.25,
2020-02-21,City of London,-4,-6.714285714,-4.714285714,-4.714285714,-3.4,
2020-02-22,City of London,-2.714285714,-4.714285714,-1.428571429,-3.571428571,-3.4,
2020-02-23,City of London,-1.428571429,-1.571428571,1.285714286,-3.571428571,-3.4,
2020-02-24,City of London,-2,-3,-1.142857143,-3.571428571,-2.2,
2020-02-25,City of London,-1.857142857,-2.571428571,-1.714285714,-3.428571429,-1.2,
2020-02-26,City of London,-0.857142857,-2.428571429,-2.285714286,-3.857142857,0.8,
2020-02-27,City of London,0.142857143,-2,-2,-3.571428571,2.2,
2020-02-28,City of London,0.285714286,-2.571428571,-4.428571429,-3.142857143,3,
2020-02-29,City of London,1.285714286,-2.857142857,-6,-3.285714286,3,
2020-03-01,City of London,3.285714286,-1,-4.142857143,0,3,
2020-03-02,City of London,4,0.714285714,-5.857142857,-0.428571429,3.4,
2020-03-03,City of London,3.428571429,0.428571429,-6.714285714,-1.285714286,3.4,
2020-03-04,City of London,2.571428571,0.142857143,-7.857142857,-1.571428571,3,
2020-03-05,City of London,0.571428571,-1.714285714,-10.14285714,-1.714285714,2.4,
2020-03-06,City of London,0.285714286,-0.571428571,-7.714285714,-2.428571429,3,
2020-03-07,City of London,-1,-0.428571429,-6,-3,3,
2020-03-08,City of London,-3.857142857,-3,-7.857142857,-6.857142857,3,
2020-03-09,City of London,-5,-3.714285714,-5.428571429,-7.428571429,1,
2020-03-10,City of London,-6.285714286,-4.285714286,-6.285714286,-7.857142857,0,
2020-03-11,City of London,-7.857142857,-4.714285714,-6.714285714,-9.285714286,-1.8,
2020-03-12,City of London,-9,-3.857142857,-6.428571429,-11.85714286,-5,
2020-03-13,City of London,-12.57142857,-6.285714286,-11.42857143,-15,-10.2,
2020-03-14,City of London,-16.57142857,-9,-17,-17.85714286,-10.2,
2020-03-15,City of London,-21.42857143,-11.85714286,-21.42857143,-20.85714286,-10.2,
2020-03-16,City of London,-25.71428571,-14,-26.28571429,-25.42857143,-16.6,
2020-03-17,City of London,-32.57142857,-19,-32.42857143,-32,-27,
2020-03-18,City of London,-40.57142857,-24.42857143,-40.28571429,-39.28571429,-38.4,
2020-03-19,City of London,-48.57142857,-29.57142857,-47.57142857,-46.42857143,-48,
2020-03-20,City of London,-56.14285714,-35.14285714,-54.28571429,-53,-56.2,
2020-03-21,City of London,-64.71428571,-40.57142857,-62.71428571,-60.14285714,-56.2,
2020-03-22,City of London,-72.28571429,-46.71428571,-70,-66.28571429,-56.2,
2020-03-23,City of London,-79,-53.85714286,-75.71428571,-71.85714286,-63.8,
2020-03-24,City of London,-83.57142857,-59.42857143,-79.71428571,-76.28571429,-69,
2020-03-25,City of London,-86.71428571,-64.57142857,-83,-79.71428571,-73.6,
2020-03-26,City of London,-89.28571429,-69.71428571,-85.42857143,-82.85714286,-78,
2020-03-27,City of London,-91.28571429,-73.85714286,-87.42857143,-85.57142857,-82,
2020-03-28,City of London,-92.57142857,-76.85714286,-88.42857143,-87.57142857,-82,
2020-03-29,City of London,-94,-78.71428571,-89.42857143,-89,-82,
2020-03-30,City of London,-95.14285714,-80.71428571,-90.57142857,-91,-83.2,
2020-03-31,City of London,-95.42857143,-81.42857143,-91.14285714,-91.85714286,-84.2,
2020-04-01,City of London,-95.57142857,-81.85714286,-91.71428571,-92.28571429,-84.2,
2020-04-02,City of London,-95.71428571,-82.14285714,-92,-92.42857143,-84.4,
2020-04-03,City of London,-95.85714286,-82.28571429,-92.14285714,-92.57142857,-84.2,
2020-04-04,City of London,-95.85714286,-82.28571429,-91.85714286,-92.57142857,-84.2,
2020-04-05,City of London,-95.57142857,-81.57142857,-91,-92.42857143,-84.2,
2020-04-06,City of London,-95.71428571,-81.71428571,-91.28571429,-92.42857143,-83.8,
2020-04-07,City of London,-95.85714286,-81.71428571,-91,-92.42857143,-84.2,
2020-04-08,City of London,-96,-81.57142857,-90.71428571,-92.42857143,-84.6,
2020-04-09,City of London,-96,-81.14285714,-90.28571429,-92.42857143,-84.2,
2020-04-10,City of London,-96.14285714,-81.71428571,-90.42857143,-92.85714286,-85.4,
2020-04-11,City of London,-96.14285714,-81.42857143,-90.14285714,-92.85714286,-85.4,
2020-04-12,City of London,-96.71428571,-82.42857143,-90.28571429,-93,-85.4,
2020-04-13,City of London,-97.14285714,-83.28571429,-90.85714286,-93.57142857,-86.75,
2020-04-14,City of London,-97.14285714,-83.14285714,-91,-93.57142857,-85.75,
2020-04-15,City of London,-97.14285714,-83,-91.14285714,-93.57142857,-85,
2020-04-16,City of London,-97.14285714,-83.28571429,-91.57142857,-93.57142857,-84.5,
2020-04-17,City of London,-97,-82.57142857,-91.57142857,-93.14285714,-82.75,
2020-04-18,City of London,-97.14285714,-82.85714286,-92.14285714,-93.14285714,-82.75,
2020-04-19,City of London,-96.85714286,-81.42857143,-92,-93,-82.75,
2020-04-20,City of London,-96.42857143,-80.42857143,-91.28571429,-92.28571429,-82.4,
2020-04-21,City of London,-96.42857143,-80.57142857,-91.14285714,-92.28571429,-82.4,
2020-04-22,City of London,-96.42857143,-80.57142857,-91,-92.28571429,-82.4,
2020-04-23,City of London,-96.42857143,-80.57142857,-90.71428571,-92.28571429,-82.8,
2020-04-24,City of London,-96.42857143,-80.42857143,-90.28571429,-92.14285714,-82.4,
2020-04-25,City of London,-96.28571429,-80,-89.57142857,-91.85714286,-82.4,
2020-04-26,City of London,-96.28571429,-80,-88.85714286,-91.57142857,-82.4,
2020-04-27,City of London,-96.28571429,-79.85714286,-88.85714286,-91.57142857,-82.2,
2020-04-28,City of London,-96.28571429,-80.28571429,-89.28571429,-91.42857143,-82.4,
2020-04-29,City of London,-96.28571429,-80.28571429,-89.42857143,-91.28571429,-82.4,
2020-04-30,City of London,-96.42857143,-80.42857143,-89.57142857,-91.14285714,-82.4,
2020-05-01,City of London,-96.42857143,-80.42857143,-89.42857143,-91,-82.8,
2020-05-02,City of London,-96.42857143,-80.42857143,-88.85714286,-90.85714286,-82.8,
2020-05-03,City of London,-96.71428571,-80.85714286,-89.57142857,-91,-82.8,
2020-05-04,City of London,-96.85714286,-80.85714286,-89.14285714,-90.85714286,-82.8,
2020-05-05,City of London,-96.85714286,-80.42857143,-88.42857143,-90.71428571,-82.8,
2020-05-06,City of London,-96.85714286,-80.28571429,-87.85714286,-90.57142857,-82.2,
2020-05-07,City of London,-96.71428571,-79.85714286,-87.14285714,-90.42857143,-81.4,
2020-05-08,City of London,-96.85714286,-80.57142857,-86.42857143,-90.85714286,-81.6,
2020-05-09,City of London,-96.85714286,-80.57142857,-84.85714286,-90.71428571,-81.6,
2020-05-10,City of London,-96.85714286,-81,-84.57142857,-90.57142857,-81.6,
2020-05-11,City of London,-96.85714286,-81.14285714,-84.71428571,-90.42857143,-82,
2020-05-12,City of London,-96.85714286,-81,-84.57142857,-90.42857143,-81.4,
2020-05-13,City of London,-96.85714286,-81.14285714,-84.85714286,-90.42857143,-81,
2020-05-14,City of London,-96.85714286,-81.28571429,-84.85714286,-90.42857143,-81.4,
2020-05-15,City of London,-96.71428571,-80.28571429,-84.57142857,-89.85714286,-80.8,
2020-05-16,City of London,-96.71428571,-80.28571429,-85,-89.71428571,-80.8,
2020-05-17,City of London,-96.14285714,-79.28571429,-82.14285714,-89.14285714,-80.8,
2020-05-18,City of London,-96,-79,-81.28571429,-89,-80.2,
2020-05-19,City of London,-96,-78.57142857,-80.57142857,-88.71428571,-80.4,
2020-05-20,City of London,-96,-78.28571429,-79,-88.42857143,-80,
2020-05-21,City of London,-96,-77.85714286,-78.28571429,-88.14285714,-79.6,
2020-05-22,City of London,-96,-77.71428571,-78.14285714,-87.85714286,-79,
2020-05-23,City of London,-96,-77.57142857,-78.42857143,-87.14285714,-79,
2020-05-24,City of London,-96.14285714,-77.57142857,-78.57142857,-86.42857143,-79,
2020-05-25,City of London,-96.28571429,-78.14285714,-77,-86.71428571,-80.2,
2020-05-26,City of London,-96.14285714,-78.14285714,-76.71428571,-86.57142857,-79.8,
2020-05-27,City of London,-96,-78.14285714,-76.85714286,-86.42857143,-79.8,
2020-05-28,City of London,-95.85714286,-78,-76.71428571,-86.28571429,-79.4,
2020-05-29,City of London,-95.71428571,-77.71428571,-76.14285714,-86.14285714,-79.2,
2020-05-30,City of London,-95.57142857,-77.14285714,-74,-86,-79.2,
2020-05-31,City of London,-95.28571429,-77,-73.14285714,-86.14285714,-79.2,
