date,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential,StringencyIndexForDisplay,newCasesBySpecimenDate,newDeaths28DaysByDeathDate
2020-02-15,-11.0,-8.0,-34.0,-10.0,-3.0,2.0,11.11,0.0,
2020-02-16,-9.0,-11.0,-41.0,-9.0,-4.0,1.0,11.11,0.0,
2020-02-17,11.0,4.0,28.0,-3.0,-13.0,2.0,11.11,1.0,
2020-02-18,4.0,-2.0,11.0,-4.0,-13.0,2.0,11.11,0.0,
2020-02-19,3.0,-3.0,3.0,-5.0,-13.0,3.0,11.11,0.0,
2020-02-20,2.0,-4.0,-4.0,-6.0,-13.0,3.0,11.11,0.0,
2020-02-21,3.0,-1.0,10.0,-5.0,-14.0,3.0,11.11,1.0,
2020-02-22,-4.0,-3.0,-7.0,-2.0,-1.0,0.0,11.11,0.0,
2020-02-23,-1.0,-3.0,-9.0,1.0,-1.0,0.0,11.11,3.0,
2020-02-24,-3.0,0.0,-1.0,-3.0,-1.0,1.0,11.11,1.0,
2020-02-25,-1.0,2.0,5.0,0.0,1.0,0.0,11.11,1.0,
2020-02-26,-2.0,0.0,11.0,-2.0,1.0,0.0,11.11,0.0,
2020-02-27,0.0,-1.0,4.0,-1.0,0.0,1.0,11.11,1.0,
2020-02-28,-2.0,-1.0,-9.0,-2.0,0.0,1.0,11.11,0.0,
2020-02-29,-2.0,0.0,-21.0,-5.0,0.0,1.0,11.11,1.0,
2020-03-01,9.0,4.0,24.0,5.0,1.0,-1.0,11.11,3.0,
2020-03-02,2.0,6.0,15.0,-3.0,1.0,0.0,11.11,12.0,
2020-03-03,-1.0,2.0,3.0,-4.0,1.0,0.0,11.11,6.0,
2020-03-04,-3.0,1.0,-7.0,-4.0,0.0,1.0,11.11,15.0,
2020-03-05,-9.0,-5.0,-21.0,-6.0,-1.0,2.0,11.11,13.0,
2020-03-06,1.0,8.0,14.0,-3.0,0.0,1.0,11.11,23.0,
2020-03-07,-2.0,3.0,-6.0,-4.0,1.0,0.0,11.11,14.0,
2020-03-08,-1.0,3.0,-2.0,-4.0,0.0,0.0,11.11,22.0,
2020-03-09,-3.0,6.0,3.0,-6.0,-1.0,1.0,11.11,54.0,2.0
2020-03-10,-6.0,7.0,-3.0,-7.0,-2.0,2.0,11.11,95.0,1.0
2020-03-11,-6.0,8.0,9.0,-10.0,-3.0,2.0,11.11,183.0,3.0
2020-03-12,-8.0,14.0,-3.0,-13.0,-5.0,3.0,11.11,167.0,6.0
2020-03-13,-13.0,15.0,-4.0,-18.0,-9.0,5.0,11.11,138.0,6.0
2020-03-14,-20.0,9.0,-17.0,-22.0,-4.0,4.0,11.11,149.0,11.0
2020-03-15,-24.0,6.0,-21.0,-24.0,-7.0,4.0,11.11,165.0,8.0
2020-03-16,-14.0,23.0,26.0,-25.0,-18.0,7.0,14.81,237.0,15.0
2020-03-17,-28.0,19.0,-8.0,-37.0,-29.0,12.0,20.37,310.0,24.0
2020-03-18,-33.0,28.0,-7.0,-43.0,-36.0,16.0,20.37,357.0,26.0
2020-03-19,-36.0,30.0,-28.0,-47.0,-41.0,18.0,20.37,332.0,25.0
2020-03-20,-46.0,8.0,-22.0,-51.0,-44.0,20.0,25.93,424.0,46.0
2020-03-21,-62.0,-8.0,-23.0,-58.0,-34.0,15.0,38.89,348.0,46.0
2020-03-22,-67.0,-20.0,-6.0,-61.0,-40.0,13.0,44.44,439.0,53.0
2020-03-23,-59.0,-13.0,-5.0,-63.0,-60.0,25.0,79.63,685.0,56.0
2020-03-24,-76.0,-25.0,-19.0,-72.0,-70.0,31.0,79.63,636.0,87.0
2020-03-25,-79.0,-28.0,-17.0,-76.0,-73.0,33.0,79.63,752.0,119.0
2020-03-26,-80.0,-32.0,-20.0,-77.0,-75.0,34.0,79.63,740.0,123.0
2020-03-27,-81.0,-32.0,-30.0,-77.0,-75.0,35.0,79.63,818.0,127.0
2020-03-28,-85.0,-41.0,-57.0,-78.0,-63.0,23.0,79.63,577.0,119.0
2020-03-29,-87.0,-48.0,-59.0,-80.0,-62.0,19.0,79.63,596.0,143.0
2020-03-30,-79.0,-36.0,-41.0,-79.0,-77.0,33.0,79.63,848.0,148.0
2020-03-31,-79.0,-35.0,-30.0,-79.0,-78.0,34.0,79.63,935.0,181.0
2020-04-01,-81.0,-36.0,-32.0,-80.0,-78.0,35.0,79.63,977.0,189.0
2020-04-02,-81.0,-36.0,-28.0,-80.0,-78.0,36.0,79.63,1063.0,194.0
2020-04-03,-81.0,-34.0,-27.0,-79.0,-77.0,36.0,79.63,984.0,192.0
2020-04-04,-84.0,-38.0,-30.0,-77.0,-63.0,23.0,79.63,765.0,225.0
2020-04-05,-84.0,-41.0,-15.0,-76.0,-61.0,18.0,79.63,636.0,196.0
2020-04-06,-78.0,-35.0,-24.0,-79.0,-77.0,33.0,79.63,858.0,197.0
2020-04-07,-79.0,-33.0,-9.0,-78.0,-78.0,34.0,79.63,946.0,221.0
2020-04-08,-80.0,-33.0,-19.0,-79.0,-78.0,34.0,79.63,867.0,232.0
2020-04-09,-78.0,-26.0,-10.0,-78.0,-78.0,34.0,79.63,791.0,200.0
2020-04-10,-83.0,-35.0,-13.0,-82.0,-85.0,38.0,79.63,622.0,174.0
2020-04-11,-84.0,-36.0,-34.0,-77.0,-64.0,23.0,79.63,518.0,164.0
2020-04-12,-89.0,-60.0,-25.0,-78.0,-64.0,19.0,79.63,502.0,170.0
2020-04-13,-83.0,-43.0,-20.0,-85.0,-87.0,37.0,79.63,601.0,170.0
2020-04-14,-78.0,-32.0,-16.0,-78.0,-77.0,33.0,79.63,600.0,143.0
2020-04-15,-79.0,-32.0,-6.0,-78.0,-77.0,34.0,79.63,657.0,147.0
2020-04-16,-79.0,-32.0,-15.0,-79.0,-76.0,34.0,79.63,574.0,138.0
2020-04-17,-81.0,-34.0,-43.0,-79.0,-75.0,36.0,79.63,577.0,110.0
2020-04-18,-84.0,-38.0,-47.0,-77.0,-59.0,23.0,79.63,401.0,118.0
2020-04-19,-83.0,-42.0,-6.0,-75.0,-56.0,17.0,79.63,398.0,116.0
2020-04-20,-77.0,-34.0,1.0,-77.0,-75.0,32.0,79.63,425.0,97.0
2020-04-21,-78.0,-33.0,-3.0,-77.0,-75.0,33.0,79.63,463.0,105.0
2020-04-22,-79.0,-32.0,3.0,-77.0,-74.0,33.0,79.63,399.0,110.0
2020-04-23,-78.0,-30.0,8.0,-77.0,-74.0,33.0,79.63,520.0,80.0
2020-04-24,-79.0,-30.0,-5.0,-75.0,-73.0,34.0,79.63,375.0,75.0
2020-04-25,-82.0,-35.0,-25.0,-74.0,-57.0,21.0,79.63,332.0,58.0
2020-04-26,-81.0,-38.0,5.0,-72.0,-54.0,16.0,79.63,310.0,62.0
2020-04-27,-76.0,-32.0,-2.0,-76.0,-73.0,31.0,79.63,418.0,55.0
2020-04-28,-82.0,-42.0,-62.0,-80.0,-75.0,32.0,79.63,311.0,58.0
2020-04-29,-79.0,-33.0,-35.0,-77.0,-73.0,33.0,79.63,432.0,52.0
2020-04-30,-81.0,-35.0,-43.0,-78.0,-74.0,34.0,79.63,426.0,45.0
2020-05-01,-80.0,-30.0,-32.0,-75.0,-72.0,34.0,79.63,355.0,42.0
2020-05-02,-81.0,-31.0,-17.0,-71.0,-54.0,20.0,79.63,248.0,52.0
2020-05-03,-82.0,-40.0,-23.0,-74.0,-53.0,17.0,79.63,170.0,43.0
2020-05-04,-75.0,-29.0,11.0,-74.0,-72.0,30.0,79.63,245.0,37.0
2020-05-05,-77.0,-29.0,0.0,-75.0,-72.0,31.0,79.63,216.0,34.0
2020-05-06,-77.0,-27.0,16.0,-74.0,-71.0,31.0,79.63,267.0,43.0
2020-05-07,-75.0,-22.0,21.0,-73.0,-71.0,31.0,79.63,273.0,28.0
2020-05-08,-79.0,-27.0,32.0,-76.0,-81.0,35.0,79.63,208.0,30.0
2020-05-09,-80.0,-30.0,5.0,-70.0,-53.0,19.0,79.63,128.0,25.0
2020-05-10,-83.0,-41.0,-36.0,-75.0,-51.0,17.0,79.63,123.0,27.0
2020-05-11,-75.0,-28.0,-17.0,-74.0,-71.0,30.0,79.63,160.0,23.0
2020-05-12,-75.0,-27.0,6.0,-73.0,-70.0,30.0,79.63,191.0,15.0
2020-05-13,-77.0,-29.0,-12.0,-74.0,-70.0,31.0,61.11,203.0,12.0
2020-05-14,-75.0,-26.0,8.0,-74.0,-70.0,30.0,61.11,159.0,17.0
2020-05-15,-75.0,-24.0,21.0,-71.0,-68.0,30.0,61.11,132.0,18.0
2020-05-16,-78.0,-28.0,-2.0,-68.0,-49.0,18.0,61.11,74.0,10.0
2020-05-17,-77.0,-31.0,40.0,-67.0,-46.0,14.0,61.11,79.0,14.0
2020-05-18,-70.0,-22.0,60.0,-70.0,-68.0,28.0,61.11,113.0,13.0
2020-05-19,-71.0,-21.0,64.0,-69.0,-68.0,28.0,61.11,128.0,20.0
2020-05-20,-72.0,-19.0,75.0,-69.0,-68.0,28.0,61.11,141.0,16.0
2020-05-21,-72.0,-19.0,54.0,-70.0,-68.0,29.0,61.11,157.0,12.0
2020-05-22,-73.0,-19.0,25.0,-69.0,-66.0,29.0,61.11,86.0,8.0
2020-05-23,-76.0,-24.0,-10.0,-67.0,-45.0,18.0,61.11,64.0,6.0
2020-05-24,-74.0,-28.0,47.0,-63.0,-43.0,12.0,61.11,51.0,6.0
2020-05-25,-70.0,-23.0,160.0,-72.0,-82.0,28.0,61.11,58.0,9.0
2020-05-26,-70.0,-19.0,57.0,-68.0,-67.0,27.0,61.11,64.0,11.0
2020-05-27,-71.0,-20.0,54.0,-69.0,-66.0,27.0,61.11,83.0,8.0
2020-05-28,-70.0,-18.0,66.0,-68.0,-66.0,28.0,61.11,74.0,9.0
2020-05-29,-71.0,-16.0,61.0,-66.0,-64.0,27.0,61.11,57.0,5.0
2020-05-30,-74.0,-20.0,48.0,-61.0,-35.0,14.0,61.11,38.0,7.0
2020-05-31,-73.0,-25.0,68.0,-61.0,-33.0,11.0,61.11,37.0,5.0
2020-06-01,-65.0,-16.0,75.0,-65.0,-63.0,25.0,57.41,50.0,5.0
