date,variable,value
2020-02-15,retail_and_recreation,-11.0
2020-02-16,retail_and_recreation,-9.0
2020-02-17,retail_and_recreation,11.0
2020-02-18,retail_and_recreation,4.0
2020-02-19,retail_and_recreation,3.0
2020-02-20,retail_and_recreation,2.0
2020-02-21,retail_and_recreation,3.0
2020-02-22,retail_and_recreation,-4.0
2020-02-23,retail_and_recreation,-1.0
2020-02-24,retail_and_recreation,-3.0
2020-02-25,retail_and_recreation,-1.0
2020-02-26,retail_and_recreation,-2.0
2020-02-27,retail_and_recreation,0.0
2020-02-28,retail_and_recreation,-2.0
2020-02-29,retail_and_recreation,-2.0
2020-03-01,retail_and_recreation,9.0
2020-03-02,retail_and_recreation,2.0
2020-03-03,retail_and_recreation,-1.0
2020-03-04,retail_and_recreation,-3.0
2020-03-05,retail_and_recreation,-9.0
2020-03-06,retail_and_recreation,1.0
2020-03-07,retail_and_recreation,-2.0
2020-03-08,retail_and_recreation,-1.0
2020-03-09,retail_and_recreation,-3.0
2020-03-10,retail_and_recreation,-6.0
2020-03-11,retail_and_recreation,-6.0
2020-03-12,retail_and_recreation,-8.0
2020-03-13,retail_and_recreation,-13.0
2020-03-14,retail_and_recreation,-20.0
2020-03-15,retail_and_recreation,-24.0
2020-03-16,retail_and_recreation,-14.0
2020-03-17,retail_and_recreation,-28.0
2020-03-18,retail_and_recreation,-33.0
2020-03-19,retail_and_recreation,-36.0
2020-03-20,retail_and_recreation,-46.0
2020-03-21,retail_and_recreation,-62.0
2020-03-22,retail_and_recreation,-67.0
2020-03-23,retail_and_recreation,-59.0
2020-03-24,retail_and_recreation,-76.0
2020-03-25,retail_and_recreation,-79.0
2020-03-26,retail_and_recreation,-80.0
2020-03-27,retail_and_recreation,-81.0
2020-03-28,retail_and_recreation,-85.0
2020-03-29,retail_and_recreation,-87.0
2020-03-30,retail_and_recreation,-79.0
2020-03-31,retail_and_recreation,-79.0
2020-04-01,retail_and_recreation,-81.0
2020-04-02,retail_and_recreation,-81.0
2020-04-03,retail_and_recreation,-81.0
2020-04-04,retail_and_recreation,-84.0
2020-04-05,retail_and_recreation,-84.0
2020-04-06,retail_and_recreation,-78.0
2020-04-07,retail_and_recreation,-79.0
2020-04-08,retail_and_recreation,-80.0
2020-04-09,retail_and_recreation,-78.0
2020-04-10,retail_and_recreation,-83.0
2020-04-11,retail_and_recreation,-84.0
2020-04-12,retail_and_recreation,-89.0
2020-04-13,retail_and_recreation,-83.0
2020-04-14,retail_and_recreation,-78.0
2020-04-15,retail_and_recreation,-79.0
2020-04-16,retail_and_recreation,-79.0
2020-04-17,retail_and_recreation,-81.0
2020-04-18,retail_and_recreation,-84.0
2020-04-19,retail_and_recreation,-83.0
2020-04-20,retail_and_recreation,-77.0
2020-04-21,retail_and_recreation,-78.0
2020-04-22,retail_and_recreation,-79.0
2020-04-23,retail_and_recreation,-78.0
2020-04-24,retail_and_recreation,-79.0
2020-04-25,retail_and_recreation,-82.0
2020-04-26,retail_and_recreation,-81.0
2020-04-27,retail_and_recreation,-76.0
2020-04-28,retail_and_recreation,-82.0
2020-04-29,retail_and_recreation,-79.0
2020-04-30,retail_and_recreation,-81.0
2020-05-01,retail_and_recreation,-80.0
2020-05-02,retail_and_recreation,-81.0
2020-05-03,retail_and_recreation,-82.0
2020-05-04,retail_and_recreation,-75.0
2020-05-05,retail_and_recreation,-77.0
2020-05-06,retail_and_recreation,-77.0
2020-05-07,retail_and_recreation,-75.0
2020-05-08,retail_and_recreation,-79.0
2020-05-09,retail_and_recreation,-80.0
2020-05-10,retail_and_recreation,-83.0
2020-05-11,retail_and_recreation,-75.0
2020-05-12,retail_and_recreation,-75.0
2020-05-13,retail_and_recreation,-77.0
2020-05-14,retail_and_recreation,-75.0
2020-05-15,retail_and_recreation,-75.0
2020-05-16,retail_and_recreation,-78.0
2020-05-17,retail_and_recreation,-77.0
2020-05-18,retail_and_recreation,-70.0
2020-05-19,retail_and_recreation,-71.0
2020-05-20,retail_and_recreation,-72.0
2020-05-21,retail_and_recreation,-72.0
2020-05-22,retail_and_recreation,-73.0
2020-05-23,retail_and_recreation,-76.0
2020-05-24,retail_and_recreation,-74.0
2020-05-25,retail_and_recreation,-70.0
2020-05-26,retail_and_recreation,-70.0
2020-05-27,retail_and_recreation,-71.0
2020-05-28,retail_and_recreation,-70.0
2020-05-29,retail_and_recreation,-71.0
2020-05-30,retail_and_recreation,-74.0
2020-05-31,retail_and_recreation,-73.0
2020-06-01,retail_and_recreation,-65.0
2020-06-02,retail_and_recreation,-68.0
2020-06-03,retail_and_recreation,-71.0
2020-06-04,retail_and_recreation,-70.0
2020-06-05,retail_and_recreation,-71.0
2020-06-06,retail_and_recreation,-75.0
2020-06-07,retail_and_recreation,-72.0
2020-06-08,retail_and_recreation,-65.0
2020-06-09,retail_and_recreation,-67.0
2020-06-10,retail_and_recreation,-71.0
2020-06-11,retail_and_recreation,-68.0
2020-06-12,retail_and_recreation,-69.0
2020-06-13,retail_and_recreation,-69.0
2020-06-14,retail_and_recreation,-68.0
2020-06-15,retail_and_recreation,-55.0
2020-06-16,retail_and_recreation,-59.0
2020-06-17,retail_and_recreation,-63.0
2020-06-18,retail_and_recreation,-63.0
2020-06-19,retail_and_recreation,-62.0
2020-06-20,retail_and_recreation,-63.0
2020-06-21,retail_and_recreation,-63.0
2020-06-22,retail_and_recreation,-54.0
2020-06-23,retail_and_recreation,-58.0
2020-06-24,retail_and_recreation,-60.0
2020-06-25,retail_and_recreation,-60.0
2020-06-26,retail_and_recreation,-61.0
2020-06-27,retail_and_recreation,-65.0
2020-06-28,retail_and_recreation,-62.0
2020-06-29,retail_and_recreation,-55.0
2020-06-30,retail_and_recreation,-58.0
2020-07-01,retail_and_recreation,-58.0
2020-07-02,retail_and_recreation,-58.0
2020-07-03,retail_and_recreation,-58.0
2020-07-04,retail_and_recreation,-57.0
2020-07-05,retail_and_recreation,-52.0
2020-07-06,retail_and_recreation,-48.0
2020-07-07,retail_and_recreation,-52.0
2020-07-08,retail_and_recreation,-55.0
2020-07-09,retail_and_recreation,-54.0
2020-07-10,retail_and_recreation,-52.0
2020-07-11,retail_and_recreation,-54.0
2020-07-12,retail_and_recreation,-51.0
2020-07-13,retail_and_recreation,-47.0
2020-07-14,retail_and_recreation,-49.0
2020-07-15,retail_and_recreation,-48.0
2020-07-16,retail_and_recreation,-46.0
2020-07-17,retail_and_recreation,-46.0
2020-07-18,retail_and_recreation,-50.0
2020-07-19,retail_and_recreation,-49.0
2020-07-20,retail_and_recreation,-40.0
2020-07-21,retail_and_recreation,-44.0
2020-07-22,retail_and_recreation,-45.0
2020-07-23,retail_and_recreation,-45.0
2020-07-24,retail_and_recreation,-47.0
2020-07-25,retail_and_recreation,-52.0
2020-07-26,retail_and_recreation,-46.0
2020-07-27,retail_and_recreation,-44.0
2020-07-28,retail_and_recreation,-43.0
2020-07-29,retail_and_recreation,-42.0
2020-07-30,retail_and_recreation,-41.0
2020-07-31,retail_and_recreation,-46.0
2020-08-01,retail_and_recreation,-49.0
2020-08-02,retail_and_recreation,-44.0
2020-08-03,retail_and_recreation,-35.0
2020-08-04,retail_and_recreation,-36.0
2020-08-05,retail_and_recreation,-36.0
2020-08-06,retail_and_recreation,-42.0
2020-08-07,retail_and_recreation,-46.0
2020-08-08,retail_and_recreation,-49.0
2020-08-09,retail_and_recreation,-45.0
2020-08-10,retail_and_recreation,-32.0
2020-08-11,retail_and_recreation,-35.0
2020-08-12,retail_and_recreation,-36.0
2020-08-13,retail_and_recreation,-43.0
2020-08-14,retail_and_recreation,-45.0
2020-08-15,retail_and_recreation,-48.0
2020-08-16,retail_and_recreation,-44.0
2020-08-17,retail_and_recreation,-30.0
2020-08-18,retail_and_recreation,-31.0
2020-08-19,retail_and_recreation,-38.0
2020-08-20,retail_and_recreation,-38.0
2020-08-21,retail_and_recreation,-43.0
2020-08-22,retail_and_recreation,-45.0
2020-08-23,retail_and_recreation,-41.0
2020-08-24,retail_and_recreation,-26.0
2020-08-25,retail_and_recreation,-31.0
2020-08-26,retail_and_recreation,-25.0
2020-08-27,retail_and_recreation,-40.0
2020-08-28,retail_and_recreation,-39.0
