areaCode,areaName,areaType,date,New cases,Death cases
E12000007,London,region,2022-07-05,2349,
E12000007,London,region,2022-07-04,3895,2
E12000007,London,region,2022-07-03,3525,6
E12000007,London,region,2022-07-02,2723,6
E12000007,London,region,2022-07-01,2988,3
E12000007,London,region,2022-06-30,3138,6
E12000007,London,region,2022-06-29,3210,9
E12000007,London,region,2022-06-28,3095,3
E12000007,London,region,2022-06-27,3110,6
E12000007,London,region,2022-06-26,2468,4
E12000007,London,region,2022-06-25,2049,8
E12000007,London,region,2022-06-24,2167,4
E12000007,London,region,2022-06-23,2511,7
E12000007,London,region,2022-06-22,2607,8
E12000007,London,region,2022-06-21,2609,7
E12000007,London,region,2022-06-20,2490,6
E12000007,London,region,2022-06-19,2102,7
E12000007,London,region,2022-06-18,1811,5
E12000007,London,region,2022-06-17,1737,5
E12000007,London,region,2022-06-16,1800,7
E12000007,London,region,2022-06-15,1986,4
E12000007,London,region,2022-06-14,2049,7
E12000007,London,region,2022-06-13,2026,3
E12000007,London,region,2022-06-12,1784,3
E12000007,London,region,2022-06-11,1366,3
E12000007,London,region,2022-06-10,1466,6
E12000007,London,region,2022-06-09,1649,6
E12000007,London,region,2022-06-08,1676,6
E12000007,London,region,2022-06-07,1679,4
E12000007,London,region,2022-06-06,1619,6
E12000007,London,region,2022-06-05,1319,2
E12000007,London,region,2022-06-04,969,7
E12000007,London,region,2022-06-03,867,2
E12000007,London,region,2022-06-02,780,4
E12000007,London,region,2022-06-01,894,2
E12000007,London,region,2022-05-31,970,4
E12000007,London,region,2022-05-30,942,7
E12000007,London,region,2022-05-29,757,3
E12000007,London,region,2022-05-28,688,4
E12000007,London,region,2022-05-27,743,10
E12000007,London,region,2022-05-26,764,5
E12000007,London,region,2022-05-25,806,4
E12000007,London,region,2022-05-24,843,2
E12000007,London,region,2022-05-23,996,7
E12000007,London,region,2022-05-22,733,5
E12000007,London,region,2022-05-21,644,7
E12000007,London,region,2022-05-20,719,6
E12000007,London,region,2022-05-19,881,4
E12000007,London,region,2022-05-18,969,5
E12000007,London,region,2022-05-17,1059,7
E12000007,London,region,2022-05-16,1175,4
E12000007,London,region,2022-05-15,961,2
E12000007,London,region,2022-05-14,752,6
E12000007,London,region,2022-05-13,803,9
E12000007,London,region,2022-05-12,937,6
E12000007,London,region,2022-05-11,1005,5
E12000007,London,region,2022-05-10,1212,13
E12000007,London,region,2022-05-09,1261,3
E12000007,London,region,2022-05-08,1081,6
E12000007,London,region,2022-05-07,832,5
E12000007,London,region,2022-05-06,1025,5
E12000007,London,region,2022-05-05,1230,9
E12000007,London,region,2022-05-04,1362,4
E12000007,London,region,2022-05-03,1443,15
E12000007,London,region,2022-05-02,1366,7
E12000007,London,region,2022-05-01,936,15
E12000007,London,region,2022-04-30,895,11
E12000007,London,region,2022-04-29,1051,6
E12000007,London,region,2022-04-28,1163,11
E12000007,London,region,2022-04-27,1346,9
E12000007,London,region,2022-04-26,1333,8
E12000007,London,region,2022-04-25,1633,11
E12000007,London,region,2022-04-24,1383,11
E12000007,London,region,2022-04-23,1219,14
E12000007,London,region,2022-04-22,1525,4
E12000007,London,region,2022-04-21,1737,12
E12000007,London,region,2022-04-20,1991,14
E12000007,London,region,2022-04-19,2455,14
E12000007,London,region,2022-04-18,2445,26
E12000007,London,region,2022-04-17,1733,14
E12000007,London,region,2022-04-16,1760,17
E12000007,London,region,2022-04-15,1871,17
E12000007,London,region,2022-04-14,2410,21
E12000007,London,region,2022-04-13,2757,20
E12000007,London,region,2022-04-12,3067,16
E12000007,London,region,2022-04-11,3289,22
E12000007,London,region,2022-04-10,2857,15
E12000007,London,region,2022-04-09,2691,13
E12000007,London,region,2022-04-08,3221,15
E12000007,London,region,2022-04-07,3531,17
E12000007,London,region,2022-04-06,4201,25
E12000007,London,region,2022-04-05,4635,20
E12000007,London,region,2022-04-04,5259,10
E12000007,London,region,2022-04-03,3907,18
E12000007,London,region,2022-04-02,3773,18
E12000007,London,region,2022-04-01,5093,16
E12000007,London,region,2022-03-31,5756,19
E12000007,London,region,2022-03-30,7909,17
E12000007,London,region,2022-03-29,8381,17
E12000007,London,region,2022-03-28,9471,10
E12000007,London,region,2022-03-27,6887,8
E12000007,London,region,2022-03-26,6328,12
E12000007,London,region,2022-03-25,7565,17
E12000007,London,region,2022-03-24,8531,15
E12000007,London,region,2022-03-23,9676,11
E12000007,London,region,2022-03-22,10022,20
E12000007,London,region,2022-03-21,10843,11
E12000007,London,region,2022-03-20,7629,11
E12000007,London,region,2022-03-19,6600,12
E12000007,London,region,2022-03-18,7734,8
E12000007,London,region,2022-03-17,8602,17
E12000007,London,region,2022-03-16,9275,13
E12000007,London,region,2022-03-15,9358,8
E12000007,London,region,2022-03-14,9889,11
E12000007,London,region,2022-03-13,7205,9
E12000007,London,region,2022-03-12,6278,12
E12000007,London,region,2022-03-11,6816,11
E12000007,London,region,2022-03-10,7325,11
E12000007,London,region,2022-03-09,7689,8
E12000007,London,region,2022-03-08,7217,10
E12000007,London,region,2022-03-07,6997,8
E12000007,London,region,2022-03-06,5014,14
E12000007,London,region,2022-03-05,4221,8
E12000007,London,region,2022-03-04,4606,13
E12000007,London,region,2022-03-03,4926,9
E12000007,London,region,2022-03-02,5185,13
E12000007,London,region,2022-03-01,4820,8
E12000007,London,region,2022-02-28,4871,8
E12000007,London,region,2022-02-27,3201,12
E12000007,London,region,2022-02-26,2662,6
E12000007,London,region,2022-02-25,3066,17
E12000007,London,region,2022-02-24,3464,12
E12000007,London,region,2022-02-23,4160,6
E12000007,London,region,2022-02-22,4649,9
E12000007,London,region,2022-02-21,5421,13
E12000007,London,region,2022-02-20,4620,14
E12000007,London,region,2022-02-19,4423,8
E12000007,London,region,2022-02-18,3410,7
E12000007,London,region,2022-02-17,5291,12
E12000007,London,region,2022-02-16,6052,13
E12000007,London,region,2022-02-15,5783,13
E12000007,London,region,2022-02-14,6058,22
E12000007,London,region,2022-02-13,4388,13
E12000007,London,region,2022-02-12,4345,11
E12000007,London,region,2022-02-11,5297,13
E12000007,London,region,2022-02-10,6450,13
E12000007,London,region,2022-02-09,7794,11
E12000007,London,region,2022-02-08,8387,15
E12000007,London,region,2022-02-07,9027,19
E12000007,London,region,2022-02-06,7070,12
E12000007,London,region,2022-02-05,6451,17
E12000007,London,region,2022-02-04,7542,22
E12000007,London,region,2022-02-03,9220,22
E12000007,London,region,2022-02-02,10705,23
E12000007,London,region,2022-02-01,11073,19
E12000007,London,region,2022-01-31,11948,17
E12000007,London,region,2022-01-30,9836,24
E12000007,London,region,2022-01-29,8727,26
E12000007,London,region,2022-01-28,9906,19
E12000007,London,region,2022-01-27,11574,27
E12000007,London,region,2022-01-26,13079,29
E12000007,London,region,2022-01-25,13247,21
E12000007,London,region,2022-01-24,14410,30
E12000007,London,region,2022-01-23,11343,22
E12000007,London,region,2022-01-22,9641,34
