date,New Cases,Death Cases
2022-07-05,4052,10.0
2022-07-04,4326,10.0
2022-07-03,3627,11.0
2022-07-02,2822,14.0
2022-07-01,3048,5.0
2022-06-30,3169,7.0
2022-06-29,3245,12.0
2022-06-28,3119,3.0
2022-06-27,3133,7.0
2022-06-26,2471,6.0
2022-06-25,2067,9.0
2022-06-24,2186,5.0
2022-06-23,2522,9.0
2022-06-22,2629,7.0
2022-06-21,2622,7.0
2022-06-20,2500,6.0
2022-06-19,2111,7.0
2022-06-18,1825,5.0
2022-06-17,1750,4.0
2022-06-16,1816,7.0
2022-06-15,1992,4.0
2022-06-14,2056,7.0
2022-06-13,2031,3.0
2022-06-12,1784,3.0
2022-06-11,1369,3.0
2022-06-10,1466,6.0
2022-06-09,1651,6.0
2022-06-08,1676,6.0
2022-06-07,1678,5.0
2022-06-06,1622,6.0
2022-06-05,1319,2.0
2022-06-04,969,7.0
2022-06-03,868,2.0
2022-06-02,782,4.0
2022-06-01,894,2.0
2022-05-31,970,4.0
2022-05-30,942,7.0
2022-05-29,757,3.0
2022-05-28,688,4.0
2022-05-27,744,10.0
2022-05-26,764,5.0
2022-05-25,806,4.0
2022-05-24,843,2.0
2022-05-23,996,7.0
2022-05-22,733,5.0
2022-05-21,644,7.0
2022-05-20,719,6.0
2022-05-19,881,4.0
2022-05-18,971,5.0
2022-05-17,1059,7.0
2022-05-16,1176,4.0
2022-05-15,961,2.0
2022-05-14,753,6.0
2022-05-13,803,9.0
2022-05-12,937,6.0
2022-05-11,1006,5.0
2022-05-10,1212,13.0
2022-05-09,1262,3.0
2022-05-08,1081,6.0
2022-05-07,831,5.0
2022-05-06,1027,5.0
2022-05-05,1229,9.0
2022-05-04,1362,4.0
2022-05-03,1444,15.0
2022-05-02,1366,7.0
2022-05-01,937,15.0
2022-04-30,895,11.0
2022-04-29,1051,6.0
2022-04-28,1163,11.0
2022-04-27,1347,9.0
2022-04-26,1333,8.0
2022-04-25,1633,11.0
2022-04-24,1383,11.0
2022-04-23,1219,14.0
2022-04-22,1525,4.0
2022-04-21,1737,12.0
2022-04-20,1991,14.0
2022-04-19,2455,14.0
2022-04-18,2445,26.0
2022-04-17,1733,15.0
2022-04-16,1760,17.0
2022-04-15,1871,17.0
2022-04-14,2410,21.0
2022-04-13,2758,20.0
2022-04-12,3067,16.0
2022-04-11,3289,22.0
2022-04-10,2857,15.0
2022-04-09,2691,13.0
2022-04-08,3221,15.0
2022-04-07,3531,17.0
2022-04-06,4201,25.0
2022-04-05,4635,20.0
2022-04-04,5259,10.0
2022-04-03,3907,18.0
2022-04-02,3773,18.0
2022-04-01,5093,16.0
2022-03-31,5756,19.0
2022-03-30,7910,17.0
2022-03-29,8381,17.0
2022-03-28,9471,10.0
2022-03-27,6887,8.0
2022-03-26,6328,12.0
2022-03-25,7565,17.0
2022-03-24,8531,15.0
2022-03-23,9676,11.0
2022-03-22,10022,20.0
2022-03-21,10843,11.0
2022-03-20,7629,11.0
2022-03-19,6600,12.0
2022-03-18,7734,8.0
2022-03-17,8602,17.0
2022-03-16,9275,13.0
2022-03-15,9358,8.0
2022-03-14,9889,11.0
2022-03-13,7206,9.0
2022-03-12,6278,12.0
2022-03-11,6816,10.0
2022-03-10,7327,11.0
2022-03-09,7689,8.0
2022-03-08,7217,10.0
2022-03-07,6997,8.0
2022-03-06,5014,14.0
2022-03-05,4221,8.0
2022-03-04,4606,13.0
2022-03-03,4926,9.0
2022-03-02,5185,13.0
2022-03-01,4820,8.0
2022-02-28,4871,8.0
2022-02-27,3201,12.0
2022-02-26,2662,6.0
2022-02-25,3066,17.0
2022-02-24,3464,12.0
2022-02-23,4160,6.0
2022-02-22,4649,9.0
2022-02-21,5421,13.0
2022-02-20,4620,14.0
2022-02-19,4423,8.0
2022-02-18,3410,7.0
2022-02-17,5291,12.0
2022-02-16,6052,13.0
2022-02-15,5782,13.0
2022-02-14,6057,22.0
2022-02-13,4388,13.0
2022-02-12,4345,11.0
2022-02-11,5295,13.0
2022-02-10,6452,13.0
2022-02-09,7794,11.0
2022-02-08,8387,15.0
2022-02-07,9027,19.0
2022-02-06,7069,12.0
2022-02-05,6451,17.0
2022-02-04,7542,22.0
2022-02-03,9220,22.0
2022-02-02,10707,23.0
2022-02-01,11073,19.0
2022-01-31,11949,17.0
2022-01-30,9836,24.0
2022-01-29,8727,26.0
2022-01-28,9906,19.0
2022-01-27,11575,27.0
2022-01-26,13079,29.0
2022-01-25,13247,21.0
2022-01-24,14410,30.0
2022-01-23,11343,22.0
2022-01-22,9641,34.0
2022-01-21,10714,42.0
2022-01-20,12021,31.0
2022-01-19,13019,34.0
2022-01-18,13877,41.0
2022-01-17,15124,36.0
2022-01-16,11246,30.0
2022-01-15,9534,47.0
2022-01-14,10513,37.0
2022-01-13,11819,43.0
2022-01-12,12937,30.0
2022-01-11,14419,45.0
2022-01-10,16625,48.0
2022-01-09,12132,38.0
2022-01-08,12174,39.0
2022-01-07,15180,35.0
2022-01-06,22194,45.0
2022-01-05,25233,29.0
2022-01-04,32097,29.0
2022-01-03,26955,30.0
2022-01-02,21911,41.0
2022-01-01,13620,40.0
2021-12-31,22197,17.0
2021-12-30,29443,38.0
2021-12-29,36922,26.0
2021-12-28,28192,25.0
2021-12-27,28063,27.0
2021-12-26,18749,21.0
2021-12-25,11172,16.0
2021-12-24,24102,22.0
2021-12-23,31069,27.0
2021-12-22,32163,25.0
2021-12-21,33942,15.0
2021-12-20,32670,11.0
2021-12-19,22608,17.0
2021-12-18,24959,16.0
2021-12-17,27164,16.0
2021-12-16,30052,11.0
2021-12-15,31010,11.0
2021-12-14,29568,18.0
2021-12-13,22845,14.0
2021-12-12,12258,20.0
2021-12-11,9887,11.0
2021-12-10,10214,16.0
2021-12-09,10331,11.0
2021-12-08,10030,13.0
2021-12-07,9085,13.0
2021-12-06,8555,15.0
2021-12-05,5520,13.0
2021-12-04,5333,12.0
2021-12-03,6093,13.0
2021-12-02,6520,8.0
2021-12-01,7050,11.0
2021-11-30,6833,15.0
2021-11-29,6857,8.0
2021-11-28,4383,12.0
2021-11-27,4334,7.0
2021-11-26,4610,9.0
2021-11-25,5186,11.0
2021-11-24,5401,17.0
2021-11-23,5289,11.0
2021-11-22,5407,8.0
2021-11-21,3831,8.0
2021-11-20,3703,9.0
2021-11-19,3945,8.0
2021-11-18,4500,6.0
2021-11-17,4501,5.0
2021-11-16,4456,8.0
2021-11-15,5148,11.0
2021-11-14,3262,10.0
2021-11-13,3235,13.0
2021-11-12,3685,8.0
2021-11-11,3924,13.0
2021-11-10,4132,15.0
2021-11-09,4009,11.0
2021-11-08,3992,16.0
2021-11-07,2813,9.0
2021-11-06,2537,15.0
2021-11-05,2783,14.0
2021-11-04,3076,12.0
2021-11-03,3289,10.0
2021-11-02,3456,15.0
2021-11-01,3917,11.0
2021-10-31,3000,12.0
2021-10-30,2908,10.0
2021-10-29,3450,11.0
2021-10-28,3618,11.0
2021-10-27,3755,19.0
2021-10-26,3513,11.0
2021-10-25,4027,12.0
2021-10-24,2838,10.0
2021-10-23,2897,7.0
2021-10-22,3525,12.0
2021-10-21,3971,9.0
2021-10-20,4361,6.0
2021-10-19,4457,9.0
2021-10-18,4568,10.0
2021-10-17,3361,13.0
2021-10-16,2806,7.0
2021-10-15,3322,5.0
2021-10-14,3471,12.0
2021-10-13,3570,6.0
2021-10-12,3428,4.0
2021-10-11,3889,8.0
2021-10-10,2785,8.0
2021-10-09,2488,11.0
2021-10-08,2702,11.0
2021-10-07,2972,6.0
2021-10-06,2863,10.0
2021-10-05,3126,11.0
2021-10-04,3364,9.0
2021-10-03,2573,6.0
2021-10-02,2202,12.0
2021-10-01,2231,16.0
2021-09-30,2650,13.0
2021-09-29,2830,13.0
2021-09-28,2843,13.0
2021-09-27,3521,17.0
2021-09-26,2557,6.0
2021-09-25,2337,10.0
2021-09-24,2438,13.0
2021-09-23,2795,14.0
2021-09-22,2871,11.0
2021-09-21,2969,8.0
2021-09-20,3178,8.0
2021-09-19,2379,9.0
2021-09-18,2166,11.0
2021-09-17,2417,8.0
2021-09-16,2440,10.0
2021-09-15,2489,11.0
2021-09-14,2643,12.0
2021-09-13,2860,4.0
2021-09-12,2065,8.0
2021-09-11,2227,8.0
2021-09-10,2571,10.0
2021-09-09,2808,17.0
2021-09-08,3215,13.0
2021-09-07,3463,11.0
2021-09-06,3892,15.0
2021-09-05,2705,11.0
2021-09-04,2758,8.0
2021-09-03,3531,21.0
2021-09-02,3811,13.0
2021-09-01,3677,11.0
2021-08-31,3811,12.0
2021-08-30,2873,8.0
2021-08-29,2286,7.0
2021-08-28,2647,14.0
2021-08-27,3144,11.0
2021-08-26,3246,13.0
2021-08-25,3529,10.0
2021-08-24,3516,9.0
2021-08-23,3657,15.0
2021-08-22,2723,13.0
2021-08-21,2728,13.0
2021-08-20,3168,16.0
2021-08-19,3630,13.0
2021-08-18,3804,10.0
2021-08-17,3825,12.0
2021-08-16,3927,10.0
2021-08-15,2760,13.0
2021-08-14,2948,12.0
2021-08-13,3763,7.0
2021-08-12,4018,17.0
2021-08-11,4369,12.0
2021-08-10,3929,5.0
2021-08-09,3877,8.0
2021-08-08,2917,7.0
2021-08-07,3015,8.0
2021-08-06,3731,8.0
2021-08-05,4296,16.0
2021-08-04,4294,13.0
2021-08-03,4033,6.0
2021-08-02,3988,9.0
2021-08-01,2694,9.0
2021-07-31,2670,8.0
2021-07-30,3357,13.0
2021-07-29,3902,11.0
2021-07-28,3964,12.0
2021-07-27,3907,3.0
2021-07-26,4043,8.0
2021-07-25,2882,5.0
2021-07-24,3118,5.0
2021-07-23,3928,10.0
2021-07-22,4313,7.0
2021-07-21,4785,8.0
2021-07-20,5160,8.0
2021-07-19,6138,6.0
2021-07-18,4523,7.0
2021-07-17,5081,3.0
2021-07-16,7137,2.0
2021-07-15,7818,2.0
2021-07-14,6574,3.0
2021-07-13,5310,4.0
2021-07-12,4970,2.0
2021-07-11,3283,0.0
2021-07-10,3251,3.0
2021-07-09,3654,2.0
2021-07-08,3690,3.0
2021-07-07,4503,2.0
2021-07-06,4025,2.0
2021-07-05,3863,2.0
2021-07-04,2639,1.0
2021-07-03,2683,3.0
2021-07-02,2944,2.0
2021-07-01,3098,3.0
2021-06-30,3083,4.0
2021-06-29,2996,3.0
2021-06-28,2873,0.0
2021-06-27,1890,4.0
2021-06-26,1723,0.0
2021-06-25,2057,4.0
2021-06-24,1959,3.0
2021-06-23,1971,0.0
2021-06-22,1787,0.0
2021-06-21,1654,2.0
2021-06-20,971,1.0
2021-06-19,924,2.0
2021-06-18,1038,4.0
2021-06-17,1300,2.0
2021-06-16,1163,2.0
2021-06-15,1300,1.0
2021-06-14,1208,0.0
2021-06-13,767,1.0
2021-06-12,772,5.0
2021-06-11,938,0.0
2021-06-10,996,0.0
2021-06-09,1077,2.0
2021-06-08,1095,2.0
2021-06-07,1017,0.0
