date,restriction
2020-03-01,
2020-03-02,
2020-03-03,
2020-03-04,
2020-03-05,
2020-03-06,
2020-03-07,
2020-03-08,
2020-03-09,
2020-03-10,
2020-03-11,
2020-03-12,
2020-03-13,
2020-03-14,
2020-03-15,
2020-03-16,
2020-03-17,Work from home advised
2020-03-18,Work from home advised
2020-03-19,Work from home advised
2020-03-20,Work from home advised
2020-03-21,Pubs and hospitality close
2020-03-22,Pubs and hospitality close
2020-03-23,Schools close
2020-03-24,Lockdown 1
2020-03-25,Lockdown 1
2020-03-26,Lockdown 1
2020-03-27,Lockdown 1
2020-03-28,Lockdown 1
2020-03-29,Lockdown 1
2020-03-30,Lockdown 1
2020-03-31,Lockdown 1
2020-04-01,Lockdown 1
2020-04-02,Lockdown 1
2020-04-03,Lockdown 1
2020-04-04,Lockdown 1
2020-04-05,Lockdown 1
2020-04-06,Lockdown 1
2020-04-07,Lockdown 1
2020-04-08,Lockdown 1
2020-04-09,Lockdown 1
2020-04-10,Lockdown 1
2020-04-11,Lockdown 1
2020-04-12,Lockdown 1
2020-04-13,Lockdown 1
2020-04-14,Lockdown 1
2020-04-15,Lockdown 1
2020-04-16,Lockdown 1
2020-04-17,Lockdown 1
2020-04-18,Lockdown 1
2020-04-19,Lockdown 1
2020-04-20,Lockdown 1
2020-04-21,Lockdown 1
2020-04-22,Lockdown 1
2020-04-23,Lockdown 1
2020-04-24,Lockdown 1
2020-04-25,Lockdown 1
2020-04-26,Lockdown 1
2020-04-27,Lockdown 1
2020-04-28,Lockdown 1
2020-04-29,Lockdown 1
2020-04-30,Lockdown 1
2020-05-01,Lockdown 1
2020-05-02,Lockdown 1
2020-05-03,Lockdown 1
2020-05-04,Lockdown 1
2020-05-05,Lockdown 1
2020-05-06,Lockdown 1
2020-05-07,Lockdown 1
2020-05-08,Lockdown 1
2020-05-09,Lockdown 1
2020-05-10,Lockdown 1
2020-05-11,Stay alert
2020-05-12,Stay alert
2020-05-13,Stay alert
2020-05-14,Stay alert
2020-05-15,Stay alert
2020-05-16,Stay alert
2020-05-17,Stay alert
2020-05-18,Stay alert
2020-05-19,Stay alert
2020-05-20,Stay alert
2020-05-21,Stay alert
2020-05-22,Stay alert
2020-05-23,Stay alert
2020-05-24,Stay alert
2020-05-25,Stay alert
2020-05-26,Stay alert
2020-05-27,Stay alert
2020-05-28,Stay alert
2020-05-29,Stay alert
2020-05-30,Stay alert
2020-05-31,Stay alert
2020-06-01,Schools reopen
2020-06-02,Schools reopen
2020-06-03,Schools reopen
2020-06-04,Schools reopen
2020-06-05,Schools reopen
2020-06-06,Schools reopen
2020-06-07,Schools reopen
2020-06-08,Schools reopen
2020-06-09,Schools reopen
2020-06-10,Schools reopen
2020-06-11,Schools reopen
2020-06-12,Schools reopen
2020-06-13,Schools reopen
2020-06-14,Schools reopen
2020-06-15,Shops reopen
2020-06-16,Shops reopen
2020-06-17,Shops reopen
2020-06-18,Shops reopen
2020-06-19,Shops reopen
2020-06-20,Shops reopen
2020-06-21,Shops reopen
2020-06-22,Shops reopen
2020-06-23,Shops reopen
2020-06-24,Shops reopen
2020-06-25,Shops reopen
2020-06-26,Shops reopen
2020-06-27,Shops reopen
2020-06-28,Shops reopen
2020-06-29,Shops reopen
2020-06-30,Shops reopen
2020-07-01,Shops reopen
2020-07-02,Shops reopen
2020-07-03,Shops reopen
2020-07-04,Hospitality reopens
2020-07-05,Hospitality reopens
2020-07-06,Hospitality reopens
2020-07-07,Hospitality reopens
2020-07-08,Hospitality reopens
2020-07-09,Hospitality reopens
2020-07-10,Hospitality reopens
2020-07-11,Hospitality reopens
2020-07-12,Hospitality reopens
2020-07-13,Hospitality reopens
2020-07-14,Hospitality reopens
2020-07-15,Hospitality reopens
2020-07-16,Hospitality reopens
2020-07-17,Hospitality reopens
2020-07-18,Hospitality reopens
2020-07-19,Hospitality reopens
2020-07-20,Hospitality reopens
2020-07-21,Hospitality reopens
2020-07-22,Hospitality reopens
2020-07-23,Hospitality reopens
2020-07-24,Hospitality reopens
2020-07-25,Hospitality reopens
2020-07-26,Hospitality reopens
2020-07-27,Hospitality reopens
2020-07-28,Hospitality reopens
2020-07-29,Hospitality reopens
2020-07-30,Hospitality reopens
2020-07-31,Hospitality reopens
2020-08-01,Covid secure workplaces introduced
2020-08-02,Covid secure workplaces introduced
2020-08-03,Eat out to help out
2020-08-04,Eat out to help out
2020-08-05,Eat out to help out
2020-08-06,Eat out to help out
2020-08-07,Eat out to help out
2020-08-08,Eat out to help out
2020-08-09,Eat out to help out
2020-08-10,Eat out to help out
2020-08-11,Eat out to help out
2020-08-12,Eat out to help out
2020-08-13,Eat out to help out
2020-08-14,Eat out to help out
2020-08-15,Eat out to help out
2020-08-16,Eat out to help out
2020-08-17,Eat out to help out
2020-08-18,Eat out to help out
2020-08-19,Eat out to help out
2020-08-20,Eat out to help out
2020-08-21,Eat out to help out
2020-08-22,Eat out to help out
2020-08-23,Eat out to help out
2020-08-24,Eat out to help out
2020-08-25,Eat out to help out
2020-08-26,Eat out to help out
2020-08-27,Eat out to help out
2020-08-28,Eat out to help out
2020-08-29,Eat out to help out
2020-08-30,Eat out to help out
2020-08-31,End of eat out to help out
2020-09-01,End of eat out to help out
2020-09-02,End of eat out to help out
2020-09-03,End of eat out to help out
2020-09-04,End of eat out to help out
2020-09-05,End of eat out to help out
2020-09-06,End of eat out to help out
2020-09-07,End of eat out to help out
2020-09-08,End of eat out to help out
2020-09-09,End of eat out to help out
2020-09-10,End of eat out to help out
2020-09-11,End of eat out to help out
2020-09-12,End of eat out to help out
2020-09-13,End of eat out to help out
2020-09-14,Rule of 6
2020-09-15,Rule of 6
2020-09-16,Rule of 6
2020-09-17,Rule of 6
2020-09-18,Rule of 6
2020-09-19,Rule of 6
2020-09-20,Rule of 6
2020-09-21,Rule of 6
2020-09-22,WFH encouraged again
2020-09-23,WFH encouraged again
2020-09-24,Curfew
2020-09-25,Curfew
2020-09-26,Curfew
2020-09-27,Curfew
2020-09-28,Curfew
2020-09-29,Curfew
2020-09-30,Curfew
2020-10-01,Curfew
2020-10-02,Curfew
2020-10-03,Curfew
2020-10-04,Curfew
2020-10-05,Curfew
2020-10-06,Curfew
2020-10-07,Curfew
2020-10-08,Curfew
2020-10-09,Curfew
2020-10-10,Curfew
2020-10-11,Curfew
2020-10-12,Curfew
2020-10-13,Curfew
2020-10-14,Tier 1
2020-10-15,Tier 1
2020-10-16,Tier 1
2020-10-17,Tier 2
2020-10-18,Tier 2
2020-10-19,Tier 2
2020-10-20,Tier 2
